Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mariona Caldentey,es ESP,"MF,FW",28,32,30,"2,686",29.8,0.54,0.23,0.77,0.34,0.2,0.23,0.07,0,0.32,0.14,0.26,0.4,2.25,9.87,5.7,0.54,0.23,0.77,0.34,0.57,0.32,0.26,0.57,0.14,0.4,Matches
Emily Fox,us USA,DF,26,31,31,"2,639",29.3,0.07,0.07,0.14,0.07,0,0,0,0,0.04,0.04,0.07,0.11,2.53,6.52,4.64,0.07,0.07,0.14,0.07,0.14,0.04,0.07,0.11,0.04,0.11,Matches
Katie McCabe,ie IRL,DF,28,31,31,"2,608",29,0.03,0.28,0.31,0.03,0,0,0.24,0.03,0.03,0.03,0.35,0.38,2.03,7.38,5.59,0.03,0.28,0.31,0.03,0.31,0.03,0.35,0.38,0.03,0.38,Matches
Alessia Russo,eng ENG,"FW,MF",25,32,29,"2,537",28.2,0.67,0.11,0.78,0.64,0.04,0.04,0,0,0.49,0.47,0.15,0.62,2.52,2.48,7.3,0.67,0.11,0.78,0.64,0.74,0.5,0.15,0.65,0.47,0.62,Matches
Leah Williamson,eng ENG,DF,27,29,27,"2,486",27.6,0.07,0,0.07,0.07,0,0,0.04,0,0.17,0.17,0.04,0.2,1.16,6.92,0.65,0.07,0,0.07,0.07,0.07,0.17,0.04,0.2,0.17,0.2,Matches
Steph Catley,au AUS,DF,30,29,26,"2,357",26.2,0,0.04,0.04,0,0,0,0.11,0,0.02,0.02,0.03,0.05,1.22,5.04,1.22,0,0.04,0.04,0,0.04,0.02,0.03,0.05,0.02,0.05,Matches
Caitlin Foord,au AUS,FW,29,31,25,"2,105",23.4,0.38,0.13,0.51,0.38,0,0,0.17,0,0.38,0.38,0.19,0.57,4.49,3.93,13.6,0.38,0.13,0.51,0.38,0.51,0.38,0.19,0.57,0.38,0.57,Matches
Kim Little,sct SCO,MF,34,30,25,"2,084",23.2,0.04,0.26,0.3,0.04,0,0,0.09,0,0.04,0.04,0.13,0.17,1.08,4.57,2.03,0.04,0.26,0.3,0.04,0.3,0.04,0.13,0.17,0.04,0.17,Matches
Daphne van Domselaar,nl NED,GK,24,22,22,"1,980",22,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Frida Maanum,no NOR,MF,25,33,27,"1,951",21.7,0.41,0.14,0.55,0.41,0,0,0.05,0,0.39,0.39,0.15,0.54,1.06,5.53,10.2,0.42,0.14,0.55,0.42,0.55,0.39,0.15,0.55,0.39,0.55,Matches
