Date,Season,Road Team,,,Home Team,,Results,
06-Oct-92,1992-93,Montreal Canadiens,5,@,Hartford Whalers,1,W,summary
08-Oct-92,1992-93,Montreal Canadiens,3,@,Ottawa Senators,5,L,summary
10-Oct-92,1992-93,Pittsburgh Penguins,3,@,Montreal Canadiens,3,T,summary
11-Oct-92,1992-93,Montreal Canadiens,2,@,Buffalo Sabres,8,L,summary
15-Oct-92,1992-93,Montreal Canadiens,2,@,Pittsburgh Penguins,5,L,summary
17-Oct-92,1992-93,Minnesota North Stars,1,@,Montreal Canadiens,8,W,summary
19-Oct-92,1992-93,St.Louis Blues,2,@,Montreal Canadiens,6,W,summary
21-Oct-92,1992-93,San Jose Sharks,4,@,Montreal Canadiens,8,W,summary
23-Oct-92,1992-93,Montreal Canadiens,3,@,New York Rangers,3,T,summary
24-Oct-92,1992-93,Montreal Canadiens,7,@,Philadelphia Flyers,6,W,summary
28-Oct-92,1992-93,Tampa Bay Lightning,3,@,Montreal Canadiens,4,W,summary
31-Oct-92,1992-93,New York Rangers,3,@,Montreal Canadiens,4,W,summary
02-Nov-92,1992-93,Winnipeg Jets,1,@,Montreal Canadiens,2,W,summary
04-Nov-92,1992-93,Montreal Canadiens,4,@,Detroit Red Wings,3,W,summary
07-Nov-92,1992-93,Detroit Red Wings,1,@,Montreal Canadiens,5,W,summary
09-Nov-92,1992-93,Calgary Flames,2,@,Montreal Canadiens,5,W,summary
11-Nov-92,1992-93,Montreal Canadiens,8,@,New Jersey Devils,3,W,summary
14-Nov-92,1992-93,Philadelphia Flyers,4,@,Montreal Canadiens,3,L,summary
16-Nov-92,1992-93,Boston Bruins,3,@,Montreal Canadiens,6,W,summary
17-Nov-92,1992-93,Montreal Canadiens,5,@,Ottawa Senators,3,W,summary
19-Nov-92,1992-93,Montreal Canadiens,3,@,Quebec Nordiques,4,L,summary
21-Nov-92,1992-93,Ottawa Senators,1,@,Montreal Canadiens,3,W,summary
23-Nov-92,1992-93,Washington Capitals,1,@,Montreal Canadiens,1,T,summary
25-Nov-92,1992-93,Montreal Canadiens,6,@,Hartford Whalers,1,W,summary
28-Nov-92,1992-93,Vancouver Canucks,6,@,Montreal Canadiens,5,L,summary
30-Nov-92,1992-93,Buffalo Sabres,0,@,Montreal Canadiens,3,W,summary
03-Dec-92,1992-93,Montreal Canadiens,3,@,Boston Bruins,4,L,summary
05-Dec-92,1992-93,Montreal Canadiens,3,@,Winnipeg Jets,2,W,summary
06-Dec-92,1992-93,Montreal Canadiens,0,@,Chicago Blackhawks,2,L,summary
08-Dec-92,1992-93,Montreal Canadiens,5,@,Los Angeles Kings,5,T,summary
12-Dec-92,1992-93,Boston Bruins,1,@,Montreal Canadiens,5,W,summary
13-Dec-92,1992-93,Montreal Canadiens,5,@,New York Rangers,10,L,summary
16-Dec-92,1992-93,Quebec Nordiques,5,@,Montreal Canadiens,1,L,summary
17-Dec-92,1992-93,Montreal Canadiens,8,@,Quebec Nordiques,3,W,summary
19-Dec-92,1992-93,Buffalo Sabres,2,@,Montreal Canadiens,4,W,summary
21-Dec-92,1992-93,Hartford Whalers,5,@,Montreal Canadiens,2,L,summary
23-Dec-92,1992-93,New York Islanders,6,@,Montreal Canadiens,2,L,summary
27-Dec-92,1992-93,Montreal Canadiens,2,@,Vancouver Canucks,5,L,summary
29-Dec-92,1992-93,Montreal Canadiens,6,@,Edmonton Oilers,3,W,summary
31-Dec-92,1992-93,Montreal Canadiens,3,@,Calgary Flames,5,L,summary
02-Jan-93,1992-93,Montreal Canadiens,5,@,Los Angeles Kings,5,T,summary
04-Jan-93,1992-93,San Jose Sharks,1,@,Montreal Canadiens,4,W,summary
05-Jan-93,1992-93,Montreal Canadiens,2,@,San Jose Sharks,1,W,summary
09-Jan-93,1992-93,Toronto Maple Leafs,5,@,Montreal Canadiens,4,L,summary
10-Jan-93,1992-93,Montreal Canadiens,7,@,Hartford Whalers,5,W,summary
13-Jan-93,1992-93,Hartford Whalers,3,@,Montreal Canadiens,7,W,summary
